Date,Open,High,Low,Close,Adj Close,Volume
01-12-2003,45.709,45.728001,45.449001,45.48,45.48,0
08-12-2003,45.474998,45.507999,45.352001,45.451,45.451,0
15-12-2003,45.450001,45.5,45.332001,45.455002,45.455002,0
22-12-2003,45.417,45.549,45.296001,45.507999,45.507999,0
29-12-2003,45.439999,45.645,45.421001,45.560001,45.560001,0
05-01-2004,45.528,45.604,45.23,45.351002,45.351002,0
12-01-2004,45.328999,45.405998,45.231998,45.352001,45.352001,0
19-01-2004,45.356998,45.393002,45.23,45.243999,45.243999,0
26-01-2004,45.25,45.332001,45,45,45,0
02-02-2004,45.151001,45.244999,45.105,45.290001,45.290001,0
09-02-2004,45.166,45.373001,45.080002,45.373001,45.373001,0
16-02-2004,45.179001,45.238998,45.125,45.238998,45.238998,0
23-02-2004,45.173,45.286999,45.115002,45.195999,45.195999,0
01-03-2004,45.165001,45.254002,45.064999,45.200001,45.200001,0
08-03-2004,45.200001,45.278999,45.051998,45.278999,45.278999,0
15-03-2004,45.172001,45.188,45.066002,45.104,45.104,0
22-03-2004,45.091999,45.110001,44.334999,44.52,44.52,0
29-03-2004,44.505001,44.537998,43.275002,43.691002,43.691002,0
05-04-2004,43.691002,43.716999,43.366001,43.522999,43.522999,0
12-04-2004,43.521,43.924999,43.521,43.740002,43.740002,0
19-04-2004,43.731998,44.115002,43.688,44.109001,44.109001,0
26-04-2004,44.126999,44.439999,43.945,44.259998,44.259998,0
03-05-2004,44.285999,44.889999,44.262001,44.529999,44.529999,0
10-05-2004,44.529999,45.580002,44.529999,45.380001,45.380001,0
17-05-2004,45.380001,45.898998,45.046001,45.182999,45.182999,0
24-05-2004,45.192001,45.505001,45.167,45.219002,45.219002,0
31-05-2004,45.290001,45.396,44.950001,44.972,44.972,0
07-06-2004,45.044998,45.080002,44.801998,45.066002,45.066002,0
14-06-2004,44.994999,45.595001,44.994999,45.507999,45.507999,0
21-06-2004,45.564999,46.18,45.502998,45.648998,45.648998,0
28-06-2004,45.681,46.025002,45.501999,45.501999,45.501999,0
05-07-2004,45.59,46,45.549999,45.645,45.645,0
12-07-2004,45.612999,46.130001,45.563,46.088001,46.088001,0
19-07-2004,46.089001,46.255001,45.859001,46.129002,46.129002,0
26-07-2004,46.139999,46.415001,46.091999,46.237999,46.237999,0
02-08-2004,46.25,46.395,46.111,46.111,46.111,0
09-08-2004,46.192001,46.41,46.105,46.229,46.229,0
16-08-2004,46.23,46.347,46.115002,46.220001,46.220001,0
23-08-2004,46.208,46.292999,46.125,46.209999,46.209999,0
30-08-2004,46.228001,46.326,46.099998,46.257,46.257,0
06-09-2004,46.228001,46.301998,46.105,46.172001,46.172001,0
13-09-2004,46.139,46.157001,45.709999,45.771,45.771,0
20-09-2004,45.784,45.875999,45.693001,45.799999,45.799999,0
27-09-2004,45.869999,46.095001,45.755001,45.993,45.993,0
04-10-2004,45.849998,45.856998,45.625,45.674999,45.674999,0
11-10-2004,45.645,45.804001,45.624001,45.743999,45.743999,0
18-10-2004,45.749001,45.782001,45.570999,45.610001,45.610001,0
25-10-2004,45.606998,45.66,45.244999,45.243999,45.243999,0
01-11-2004,45.317001,45.48,44.943001,44.959999,44.959999,0
08-11-2004,44.946999,45.132,44.939999,45.029999,45.029999,0
15-11-2004,45.032001,45.080002,44.837002,44.93,44.93,0
22-11-2004,44.931,45.02,44.868999,44.928001,44.928001,0
29-11-2004,44.888,44.919998,43.932999,43.991001,43.991001,0
06-12-2004,43.991001,44.66,43.560001,44.569,44.569,0
13-12-2004,44.570999,44.588001,43.654999,43.875999,43.875999,0
20-12-2004,43.889,43.943001,43.547001,43.612999,43.612999,0
27-12-2004,43.612,43.779999,43.265999,43.307999,43.307999,0
03-01-2005,43.310001,43.901001,43.25,43.832001,43.832001,0
10-01-2005,43.827,43.959,43.479,43.52,43.52,0
17-01-2005,43.512001,43.744999,43.470001,43.599998,43.599998,0
24-01-2005,43.587002,43.762001,43.549999,43.580002,43.580002,0
31-01-2005,43.580002,43.667,43.219002,43.275002,43.275002,0
07-02-2005,43.384998,43.757999,43.287998,43.700001,43.700001,0
14-02-2005,43.688999,43.77,43.575001,43.66,43.66,0
21-02-2005,43.651001,43.75,43.52,43.599998,43.599998,0
28-02-2005,43.589001,43.678001,43.525002,43.567001,43.567001,0
07-03-2005,43.610001,43.658001,43.396999,43.419998,43.419998,0
14-03-2005,43.410999,43.687,43.403,43.549999,43.549999,0
21-03-2005,43.537998,43.821999,43.52,43.619999,43.619999,0
28-03-2005,43.66,43.830002,43.472,43.619999,43.619999,0
04-04-2005,43.493,43.82,43.481998,43.599998,43.599998,0
11-04-2005,43.647999,43.830002,43.549999,43.700001,43.700001,0
18-04-2005,43.692001,43.790001,43.551998,43.66,43.66,0
25-04-2005,43.653,43.722,43.361,43.431999,43.431999,0
02-05-2005,43.432999,43.599998,43.259998,43.43,43.43,0
09-05-2005,43.43,43.52,43.130001,43.360001,43.360001,0
16-05-2005,43.349998,43.599998,43.314999,43.450001,43.450001,0
23-05-2005,43.368999,43.544998,43.360001,43.5,43.5,0
30-05-2005,43.431999,43.766998,43.400002,43.560001,43.560001,0
06-06-2005,43.584999,43.651001,43.34,43.470001,43.470001,0
13-06-2005,43.472,43.66,43.417999,43.459999,43.459999,0
20-06-2005,43.452,43.612,43.380001,43.404999,43.404999,0
27-06-2005,43.43,43.564999,43.375,43.459999,43.459999,0
04-07-2005,43.551998,43.632,43.380001,43.540001,43.540001,0
11-07-2005,43.540001,44.409,43.380001,43.470001,43.470001,0
18-07-2005,43.470001,43.540001,43,43.369999,43.369999,0
25-07-2005,43.369999,43.564999,43.258999,43.360001,43.360001,0
01-08-2005,43.353001,43.532001,43.285,43.419998,43.419998,0
08-08-2005,43.41,43.59,43.396,43.52,43.52,0
15-08-2005,43.506001,43.562,43.358002,43.5,43.5,0
22-08-2005,43.490002,43.755001,43.477001,43.599998,43.599998,0
29-08-2005,43.647999,44.130001,43.599998,43.880001,43.880001,0
